Site,Aba.par,Acu.dub,Ago.afr,Ago.ful,Ago.mue,Ago.vid,Ama.aen,Ama.com,Ama.fam,Ama.ple,Ama.sim,Bad.bul,Bem.big,Bem.gut,Bem.lam,Bem.man,Bem.obt,Bra.har,Bra.sha,Cal.fus,Cal.rot,Car.vio,Cli.fos,Cur.aul,Cyc.car,Har.ruf,Lei.fer,Lei.ful,Lei.ruf,Lei.spi,Lor.pil,Neb.bre,Not.big,Not.ruf,Ocy.har,Pat.atr,Pla.ass,Poe.cup,Pte.mad,Pte.mel,Pte.nige,Pte.nigr,Pte.obl,Pte.str,Pte.ver,Sto.pum,Syn.niv,Tre.qua
E1,388,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,13,3,0,0,0,0,0,1,0,0,0,59,0,0,3,0,2,2,210,4,3,1,1,21,0,1,0,0
E2,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,2,0,0,0,0,0,1,0,0,0,125,0,0,0,0,4,3,218,11,8,3,0,14,0,2,0,0
E3,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,1,0,0,0,0,0,3,0,0,0,99,0,0,0,0,2,13,192,4,8,1,1,7,0,1,0,0
E4,350,0,0,0,2,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,89,1,0,1,0,2,5,2,2,1,3,109,0,0,0,2,7,8,226,7,8,8,1,20,0,6,0,0
E5,407,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,94,2,0,0,0,0,0,6,8,1,1,140,0,0,1,0,4,8,247,4,10,7,1,19,0,2,0,0
E6,381,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,84,1,0,0,0,0,0,0,3,2,0,92,0,0,0,0,8,4,272,10,8,7,0,20,0,5,0,0
G1,178,1,1,1,0,1,2,0,2,0,0,0,5,0,4,23,1,0,1,3,1,0,5,0,0,0,0,0,0,0,0,25,1,1,0,0,3,23,52,1,6,3,0,17,0,2,1,1
G2,114,0,1,0,0,0,0,0,0,0,0,0,3,0,1,12,0,1,1,4,2,0,5,0,0,0,0,0,0,0,0,31,2,0,2,0,1,9,63,0,9,6,0,14,1,3,2,0
G3,80,0,1,0,0,0,0,0,0,3,0,0,4,0,3,13,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,21,0,1,0,0,1,10,48,1,4,3,0,8,0,0,0,0
G4,99,1,4,0,0,1,0,0,0,2,1,2,9,2,1,16,0,0,0,4,5,0,6,0,0,0,1,0,0,0,0,36,1,1,0,0,6,20,68,0,9,6,0,24,2,7,1,1
G5,133,1,6,2,0,0,0,1,0,1,0,1,4,0,2,21,1,0,1,3,8,0,3,0,0,0,0,0,0,0,0,32,0,0,0,0,3,20,72,1,7,6,0,24,2,3,0,1
G6,105,0,7,0,0,0,0,0,0,1,0,1,4,0,2,12,1,0,1,4,3,0,2,0,0,0,0,0,0,0,0,30,0,3,0,0,8,25,79,0,9,6,0,17,2,7,1,1
W1,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,3,0,0,1,0,0,0,11,1,0,155,2,0,0,0,10,0,380,0,9,0,0,1,0,0,0,0
W2,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,0,0,1,0,0,0,29,0,0,178,3,0,0,0,15,0,212,0,39,0,0,1,0,0,0,0
W3,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8,0,0,2,0,0,0,18,1,0,199,1,0,0,0,15,0,146,0,30,0,0,0,0,0,0,0
W4,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,0,2,0,0,0,35,0,0,132,3,0,0,0,4,0,231,1,19,0,0,2,0,0,0,0
W5,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,0,0,2,0,0,0,50,0,0,148,6,0,0,0,5,0,255,1,20,0,0,1,0,0,0,0
W6,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2,0,0,1,0,0,0,33,0,0,147,4,0,0,0,0,0,191,0,40,0,0,1,0,0,0,0
