Species,Quantity,Sample,Abbr,Max Ht,Habitat
Pterostichus melanarius,4,E5,Pte.mel,2.5,Edge
Leistus spinibarbis,2,E6,Lei.spi,2,Edge
Carabus violaceus,1,E6,Car.vio,2,Edge
Platynus assimilis,4,E5,Pla.ass,2.5,Edge
Agonum muelleri,1,E5,Ago.mue,2.5,Edge
Calathus rotundicollis,94,E5,Cal.rot,2.5,Edge
Abax parallelepipedus,407,E5,Aba.par,2.5,Edge
Pterostichus nigrita,7,E5,Pte.nigr,2.5,Edge
Pterostichus oblongopunctatus,1,E5,Pte.obl,2.5,Edge
Pterostichus madidus,247,E5,Pte.mad,2.5,Edge
Stomis pumicatus,2,G1,Sto.pum,1.8,Grass
Pterostichus niger,10,E5,Pte.nige,2.5,Edge
Leiodes rufipennis,3,E6,Lei.ruf,2,Edge
Pterostichus strenuus,19,E5,Pte.str,2.5,Edge
Nebria brevicollis,31,G2,Neb.bre,1.8,Grass
Stomis pumicatus,3,G2,Sto.pum,1.8,Grass
Ocys harpaloides,2,G2,Ocy.har,1.8,Grass
Bembidion lampros,1,G2,Bem.lam,1.8,Grass
Bembidion mannerheimii,12,G2,Bem.man,1.8,Grass
Bembidion biguttatum,3,G2,Bem.big,1.8,Grass
Agonum afrum,1,G1,Ago.afr,1.8,Grass
Notiophilus biguttatus,2,G2,Not.big,1.8,Grass
Pterostichus niger,9,G2,Pte.nige,1.8,Grass
Acupalpus dubius,1,G1,Acu.dub,1.8,Grass
Bradycellus sharpi,1,G1,Bra.sha,1.8,Grass
Amara familiaris,2,G1,Ama.fam,1.8,Grass
Amara aenea,2,G1,Ama.aen,1.8,Grass
Platynus assimilis,3,G1,Pla.ass,1.8,Grass
Bembidion lampros,4,G1,Bem.lam,1.8,Grass
Clivina fossor,5,G2,Cli.fos,1.8,Grass
Calathus fuscipes,4,G2,Cal.fus,1.8,Grass
Bradycellus sharpi,1,G2,Bra.sha,1.8,Grass
Nebria brevicollis,21,G3,Neb.bre,2,Grass
Stomis pumicatus,1,E3,Sto.pum,15,Edge
Poecilus cupreus,8,E5,Poe.cup,2.5,Edge
Bradycellus harpalinus,1,G2,Bra.har,1.8,Grass
Platynus assimilis,1,G2,Pla.ass,1.8,Grass
Poecilus cupreus,9,G2,Poe.cup,1.8,Grass
Synuchus nivalis,2,G2,Syn.niv,1.8,Grass
Pterostichus madidus,63,G2,Pte.mad,1.8,Grass
Calathus rotundicollis,2,G2,Cal.rot,1.8,Grass
Abax parallelepipedus,114,G2,Aba.par,1.8,Grass
Pterostichus strenuus,14,G2,Pte.str,1.8,Grass
Pterostichus vernalis,1,G2,Pte.ver,1.8,Grass
Pterostichus nigrita,6,G2,Pte.nigr,1.8,Grass
Agonum fuliginosum,1,G1,Ago.ful,1.8,Grass
Agonum afrum,1,G2,Ago.afr,1.8,Grass
Pterostichus niger,8,E6,Pte.nige,2,Edge
Nebria brevicollis,25,G1,Neb.bre,1.8,Grass
Platynus assimilis,8,E6,Pla.ass,2,Edge
Calathus rotundicollis,84,E6,Cal.rot,2,Edge
Abax parallelepipedus,381,E6,Aba.par,2,Edge
Pterostichus strenuus,20,E6,Pte.str,2,Edge
Agonum viduum,1,G1,Ago.vid,1.8,Grass
Pterostichus melanarius,10,E6,Pte.mel,2,Edge
Clivina fossor,5,G1,Cli.fos,1.8,Grass
Pterostichus madidus,272,E6,Pte.mad,2,Edge
Poecilus cupreus,4,E6,Poe.cup,2,Edge
Stomis pumicatus,5,E6,Sto.pum,2,Edge
Bembidion lampros,1,E6,Bem.lam,2,Edge
Bembidion mannerheimii,2,E6,Bem.man,2,Edge
Bembidion biguttatum,1,E6,Bem.big,2,Edge
Pterostichus nigrita,7,E6,Pte.nigr,2,Edge
Pterostichus madidus,52,G1,Pte.mad,1.8,Grass
Synuchus nivalis,1,G1,Syn.niv,1.8,Grass
Calathus fuscipes,3,G1,Cal.fus,1.8,Grass
Calathus rotundicollis,1,G1,Cal.rot,1.8,Grass
Abax parallelepipedus,178,G1,Aba.par,1.8,Grass
Pterostichus strenuus,17,G1,Pte.str,1.8,Grass
Pterostichus nigrita,3,G1,Pte.nigr,1.8,Grass
Notiophilus biguttatus,1,G1,Not.big,1.8,Grass
Pterostichus niger,6,G1,Pte.nige,1.8,Grass
Notiophilus rufipes,1,G1,Not.ruf,1.8,Grass
Poecilus cupreus,23,G1,Poe.cup,1.8,Grass
Bembidion obtusum,1,G1,Bem.obt,1.8,Grass
Bembidion mannerheimii,23,G1,Bem.man,1.8,Grass
Bembidion biguttatum,5,G1,Bem.big,1.8,Grass
Trechus quadristriatus,1,G1,Tre.qua,1.8,Grass
Nebria brevicollis,92,E6,Neb.bre,2,Edge
Pterostichus melanarius,1,G1,Pte.mel,1.8,Grass
Abax parallelepipedus,325,E2,Aba.par,15,Edge
Pterostichus madidus,192,E3,Pte.mad,15,Edge
Bembidion mannerheimii,2,E2,Bem.man,15,Edge
Stomis pumicatus,2,E2,Sto.pum,15,Edge
Poecilus cupreus,3,E2,Poe.cup,15,Edge
Pterostichus madidus,218,E2,Pte.mad,15,Edge
Pterostichus niger,8,E2,Pte.nige,15,Edge
Pterostichus melanarius,11,E2,Pte.mel,15,Edge
Leistus fulvibarbis,1,E2,Lei.ful,15,Edge
Pterostichus strenuus,14,E2,Pte.str,15,Edge
Carabus violaceus,2,E2,Car.vio,15,Edge
Calathus rotundicollis,16,E2,Cal.rot,15,Edge
Platynus assimilis,4,E2,Pla.ass,15,Edge
Carabus violaceus,1,E3,Car.vio,15,Edge
Leistus fulvibarbis,3,E3,Lei.ful,15,Edge
Nebria brevicollis,99,E3,Neb.bre,15,Edge
Bembidion mannerheimii,1,E3,Bem.man,15,Edge
Poecilus cupreus,13,E3,Poe.cup,15,Edge
Pterostichus niger,8,E3,Pte.nige,15,Edge
Pterostichus nigrita,3,E2,Pte.nigr,15,Edge
Pterostichus madidus,210,E1,Pte.mad,5.5,Edge
Abax parallelepipedus,426,W1,Aba.par,17,Wood
Notiophilus rufipes,1,G3,Not.ruf,2,Grass
Leistus fulvibarbis,1,E1,Lei.ful,5.5,Edge
Nebria brevicollis,59,E1,Neb.bre,5.5,Edge
Bembidion mannerheimii,2,E1,Bem.man,5.5,Edge
Bembidion lampros,1,E1,Bem.lam,5.5,Edge
Ocys harpaloides,3,E1,Ocy.har,5.5,Edge
Nebria brevicollis,125,E2,Neb.bre,15,Edge
Poecilus cupreus,2,E1,Poe.cup,5.5,Edge
Pterostichus nigrita,1,E3,Pte.nigr,15,Edge
Pterostichus niger,3,E1,Pte.nige,5.5,Edge
Pterostichus oblongopunctatus,1,E1,Pte.obl,5.5,Edge
Pterostichus melanarius,4,E1,Pte.mel,5.5,Edge
Pterostichus nigrita,1,E1,Pte.nigr,5.5,Edge
Pterostichus strenuus,21,E1,Pte.str,5.5,Edge
Abax parallelepipedus,388,E1,Aba.par,5.5,Edge
Calathus rotundicollis,13,E1,Cal.rot,5.5,Edge
Platynus assimilis,2,E1,Pla.ass,5.5,Edge
Stomis pumicatus,1,E1,Sto.pum,5.5,Edge
Carabus violaceus,2,E5,Car.vio,2.5,Edge
Pterostichus nigrita,8,E4,Pte.nigr,3,Edge
Pterostichus strenuus,20,E4,Pte.str,3,Edge
Abax parallelepipedus,350,E4,Aba.par,3,Edge
Calathus rotundicollis,89,E4,Cal.rot,3,Edge
Agonum muelleri,2,E4,Ago.mue,3,Edge
Platynus assimilis,7,E4,Pla.ass,3,Edge
Curtonotus aulicus,1,E4,Cur.aul,3,Edge
Pterostichus oblongopunctatus,1,E3,Pte.obl,15,Edge
Leistus ferrugineus,5,E4,Lei.fer,3,Edge
Pterostichus niger,8,E4,Pte.nige,3,Edge
Leistus spinibarbis,1,E5,Lei.spi,2.5,Edge
Leiodes rufipennis,8,E5,Lei.ruf,2.5,Edge
Leistus fulvibarbis,6,E5,Lei.ful,2.5,Edge
Nebria brevicollis,140,E5,Neb.bre,2.5,Edge
Loricera pilicornis,1,E5,Lor.pil,2.5,Edge
Bembidion mannerheimii,7,E5,Bem.man,2.5,Edge
Bembidion lampros,1,E5,Bem.lam,2.5,Edge
Ocys harpaloides,1,E5,Ocy.har,2.5,Edge
Harpalus rufipalpis,2,E4,Har.ruf,3,Edge
Loricera pilicornis,3,E4,Lor.pil,3,Edge
Stomis pumicatus,2,E5,Sto.pum,2.5,Edge
Pterostichus strenuus,7,E3,Pte.str,15,Edge
Abax parallelepipedus,295,E3,Aba.par,15,Edge
Calathus rotundicollis,18,E3,Cal.rot,15,Edge
Platynus assimilis,2,E3,Pla.ass,15,Edge
Carabus violaceus,1,E4,Car.vio,3,Edge
Leistus spinibarbis,1,E4,Lei.spi,3,Edge
Leiodes rufipennis,2,E4,Lei.ruf,3,Edge
Pterostichus melanarius,7,E4,Pte.mel,3,Edge
Nebria brevicollis,109,E4,Neb.bre,3,Edge
Pterostichus oblongopunctatus,1,E4,Pte.obl,3,Edge
Bembidion guttula,1,E4,Bem.gut,3,Edge
Bembidion mannerheimii,4,E4,Bem.man,3,Edge
Bembidion lampros,2,E4,Bem.lam,3,Edge
Patrobus atrorufus,2,E4,Pat.atr,3,Edge
Stomis pumicatus,6,E4,Sto.pum,3,Edge
