Species,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10
Carex rostrata,216,140,119,98,96,65,9,4,10,0
Fillipendula ulmaria,38,41,9,1,0,0,0,0,0,0
Caltha palustris,22,10,15,0,0,0,0,0,0,0
Bryophyte,48,43,39,65,53,38,100,53,67,15
Galium palustre,55,59,1,7,4,1,0,0,0,0
Valeriana officianalis,0,0,2,0,0,0,0,0,0,0
Ranunculus repens,16,6,4,2,1,0,0,0,0,0
Cochlearia spp,90,36,12,0,0,0,0,0,0,0
Epilobium palustre,19,0,0,0,0,0,0,0,0,0
Myosotis scorpioides,61,48,3,1,0,0,0,0,0,0
Mentha aquatica,12,8,3,0,0,0,0,0,0,0
Rumex acetosa,2,3,2,13,0,0,0,0,0,0
Succisa pratensis,1,0,3,10,0,0,0,0,0,0
Molinea caerulea,0,100,46,87,42,51,60,50,25,22
Juncus effusus,0,0,0,0,40,0,0,0,0,0
Eriophorum vaginatum,0,31,94,130,130,83,191,90,154,180
Eriophorum angustifloium,0,8,0,30,20,100,0,59,5,79
Sphagnum spp.,50,11,141,75,185,128,136,89,151,121
Calluna vulgaris,0,0,5,24,18,59,39,47,104,68
Vaccinium myrtillus,0,0,39,2,12,0,20,18,0,24
Polytrichum spp.,7,2,0,0,6,9,2,6,0,8
Vaccinium vitis-idea,0,0,11,0,50,99,102,68,50,17
